"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"28","1978",212,275,354.85215,2380.86003,3,326.294147084008,26,0.104649662080039,31,34262.5209,244,152,3058.77202,5532.32725,92,NA,234,NA,NA,19,NA,52938.12474,18671.8971,40763.58466,NA,2,NA
"29","1979",157,281,186.8146,770.68804,2,2411.40239036158,51,0.0939508390824599,40,23021.564,241,120,991.38564,3638.77305,121,NA,233,NA,NA,6,NA,52938.12474,18671.8971,40763.58466,NA,1,NA
"30","1980",183,338,182.1826,662.181620000001,5,3656.02260047247,19,0.0732531912111727,63,23544.2442,275,203,696.96104,4546.1394,72,NA,260,103,NA,16,2,52938.12474,18671.8971,40763.58466,NA,5,1
"31","1981",146,285,155.5342,865.79495,3,332.372313537614,25,0.0549943265462723,57,10055.0941,228,73,404.40472,2566.4128,155,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"32","1982",146,321,838.81615,6478.24585,2,1252.15298333174,10,0.0603574502665861,66,22020.9812,255,190,2456.12507,6787.44285,65,NA,214,44,NA,19,1,52938.12474,18671.8971,40763.58466,NA,7,1
"33","1983",57,330,1033.3417,1669.18154,6,11550.794094334,24,0.077433349192671,49,33012.9664,281,180,3354.34574,7357.22695,101,NA,204.5,239,NA,52,2,52938.12474,18671.8971,40763.58466,NA,8,1
"34","1984",216,300,316.9022,1138.13135,NA,NA,NA,0.100779690319668,55,22104.4313,245,224,950.25818,3165.99175,21,NA,232,NA,NA,5,NA,52938.12474,18671.8971,40763.58466,NA,3,NA
"35","1985",192,284,194.023,1013.66386,2,1041.72081325197,9,0.065566028134392,64,8589.0578,220,70,1230.76405,3463.97465,150,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"36","1986",178,298,148.3578,650.55104,3,1254.89306403198,5,0.0896316880509131,57,23898.7667,241,131,1196.5298,6765.3282,110,NA,157,138,NA,13,3,52938.12474,18671.8971,40763.58466,NA,3,1
"37","1987",99,342,106.6931,612.28342,2,422.996292170085,0,0.028409872380708,135,3029.696,207,97,111.11414,454.8872,110,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"38","1988",195,302,117.7778,619.25022,3,750.536856082386,21,0.0688986267493695,58,3101.931,244,169,197.35192,1114.3751,75,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"39","1989",72,295,111.175,467.36283,2,4510.41251241273,43,0.0628857215344082,73,10923.6697,222,91,575.8507,3820.1596,131,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"40","1990",202,297,103.4048,181.17806,NA,NA,NA,0.0721283869126619,55,4291.7862,242,241,145.0164,514.35,1,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"41","1991",179,301,138.1841,458.92326,2,419.984897212319,30,0.0931768278265675,46,12737.6633,255,122,175.54824,2117.42245,133,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"42","1992",149,300,111.9977,318.73078,NA,NA,NA,0.0664311169277924,85,8034.4511,215,101,279.4456,1877.7159,114,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"43","1993",165,299,123.8357,757.0828,1,320.031084389657,19,0.104636345029,39,14713.1468,260,177,2720.83286,5645.098,83,NA,228,NA,NA,1,NA,52938.12474,18671.8971,40763.58466,NA,1,NA
"44","1994",163,283,104.5181,736.726780000001,7,558.585213128155,9,0.0684033259324939,62,2428.4809,221,123,125.68802,510.8605,98,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"45","1995",117,344,129.2004,360.54972,2,4176.03746403745,3,0.0789775768707985,62,27640.4287,282,202,3056.4735,7333.3239,80,NA,248.5,160,NA,28,1,52938.12474,18671.8971,40763.58466,NA,6,1
"46","1996",143,273,134.6713,1069.5017,3,24466.6974466582,72,0.107755361625504,23,17077.1592,250,155,697.5919,5446.9424,95,NA,141,NA,NA,8,NA,52938.12474,18671.8971,40763.58466,NA,3,NA
"47","1997",153,299,139.3587,564.28618,2,1128.82408179968,28,0.103171334489725,50,11276.0821,249,199,1457.15796,5644.6573,50,92,92,92,2,6,2,52938.12474,18671.8971,40763.58466,1,3,1
"48","1998",146,331,225.15055,755.8402,4,206.486462537662,0,0.106041603438711,54,35116.761,277,191,2536.1719,5360.2447,86,NA,216,NA,NA,26,NA,52938.12474,18671.8971,40763.58466,NA,2,NA
"49","1999",158,298,113.50955,227.05075,2,647.364703711173,23,0.080977283879407,60,25375.1644,238,127,1426.85254,2864.3141,111,NA,170.5,NA,NA,6,NA,52938.12474,18671.8971,40763.58466,NA,2,NA
"50","2000",219,277,120.2152,421.0402,13,1007.83178953928,26,0.0893210692326357,78,21051.2521,199,109,109.4703,5030.264,90,115,155,115,1,2,1,52938.12474,18671.8971,40763.58466,1,2,1
"51","2001",170,270,106.1458,574.16317,3,1101.79643262224,8,0.0763428940043806,47,10385.8952,223,93,449.04982,2009.0505,130,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"52","2002",223,293,141.6402,1257.71584,2,1322.55073954768,29,0.0815757748433067,47,7474.6696,246,172,935.08087,2397.3677,74,NA,NA,NA,NA,NA,NA,52938.12474,18671.8971,40763.58466,NA,NA,NA
"53","2003",170,317,129.95095,1149.7601,5,41294.5792238915,38,0.082212151111285,73,23674.6285,244,94,769.0149,4355.6372,150,NA,234,38,NA,4,1,52938.12474,18671.8971,40763.58466,NA,3,1
